"a","birthPlaceLabel","nationalityLabel","deathPlaceLabel"
"http://dbpedia.org/resource/Benedict_Kiely","County Tyrone","Irish","Dublin, Ireland"
"http://dbpedia.org/resource/Marguerite_Duras","French Indochina","French","Paris, France"
"http://dbpedia.org/resource/Sylvia_Plath","Boston","American","London, England, UK"
"http://dbpedia.org/resource/Henry_Treece","England","British","United Kingdom"
"http://dbpedia.org/resource/Michael_Glenny","London","UK","Moscow, Soviet Russia"
"http://dbpedia.org/resource/James_Herbert","London","British","Sussex, England"
"http://dbpedia.org/resource/Rudyard_Kipling","Mumbai","British","London, England"
"http://dbpedia.org/resource/Percival_Wilde","New York City","American","california"
"http://dbpedia.org/resource/Henry_Treece","Staffordshire","British","United Kingdom"
"http://dbpedia.org/resource/Marguerite_Duras","French Cochinchina","French","Paris, France"
"http://dbpedia.org/resource/Rudyard_Kipling","British Raj","British","London, England"
"http://dbpedia.org/resource/Ivan_Bunin","Russian Empire","Russian","Paris, France"
"http://dbpedia.org/resource/Ivan_Bunin","Voronezh","Russian","Paris, France"
"http://dbpedia.org/resource/Marguerite_Duras","Ho Chi Minh City","French","Paris, France"
"http://dbpedia.org/resource/Benedict_Kiely","Dromore, County Tyrone","Irish","Dublin, Ireland"
"http://dbpedia.org/resource/Tatiana_Dorofeeva_(linguist)","Penza","Russian","Moscow, Russia"
"http://dbpedia.org/resource/Marguerite_Duras","Saigon","French","Paris, France"
"http://dbpedia.org/resource/Elizabeth_Bacon_Custer","Monroe, Michigan","American","New York City"
"http://dbpedia.org/resource/Shūzō_Takiguchi","Toyama Prefecture","Japan","Tokyo"
"http://dbpedia.org/resource/Henry_Treece","Wednesbury","British","United Kingdom"
"http://dbpedia.org/resource/Rudyard_Kipling","Bombay Presidency","British","London, England"
"http://dbpedia.org/resource/Marilyn_Kaytor","Kinmundy, Illinois","American","New York City, USA"
"http://dbpedia.org/resource/Tatiana_Dorofeeva_(linguist)","Former USSR","Russian","Moscow, Russia"
"http://dbpedia.org/resource/Eliza_Dorothea_Cobbe,_Lady_Tuite",,"Irish","Bath"
"http://dbpedia.org/resource/Elizabeth_Ryves",,"Irish","London, England"
"http://dbpedia.org/resource/Max_Pemberton",,"United Kingdom","London, England"
"http://dbpedia.org/resource/Rita_Gallagher",,"United States","Houston, Texas"
"http://dbpedia.org/resource/Rita_Guibert",,"American","New York City, USA"
"http://dbpedia.org/resource/Walter_Ristow",,"American","Mitchellville, Maryland"
"http://dbpedia.org/resource/Scott_Hutchins","Arkansas","American",
"http://dbpedia.org/resource/David_Gitin","Buffalo, New York","American",
"http://dbpedia.org/resource/Märta_Tikkanen","Helsinki","Finnish",
"http://dbpedia.org/resource/Woeser","Lhasa (prefecture-level city)","Chinese",
"http://dbpedia.org/resource/Wilfred_Greatorex","Liverpool","British",
"http://dbpedia.org/resource/Ian_McDonald_(British_author)","Manchester","Scottish and Irish",
"http://dbpedia.org/resource/Adrian_Caesar","Manchester","Australian",
"http://dbpedia.org/resource/Chuck_McKenzie","Melbourne","Australian",
"http://dbpedia.org/resource/Pearl_Rivers","Mississippi","United States",
"http://dbpedia.org/resource/Kevin_Connolly_(writer)","Mississippi","Canadian",
"http://dbpedia.org/resource/James_Lloydovich_Patterson","Moscow","Russian",
"http://dbpedia.org/resource/Marina_Boroditskaya","Moscow","Russian",
"http://dbpedia.org/resource/Rajiv_Malhotra","New Delhi","American",
"http://dbpedia.org/resource/Don_Brown_(author)","North Carolina","American",
"http://dbpedia.org/resource/John_Brosnan","Perth, Western Australia","Australian",
"http://dbpedia.org/resource/Adriaen_Verwer","Rotterdam","Dutch",
"http://dbpedia.org/resource/John_David_Morley","Singapore","British",
"http://dbpedia.org/resource/Andre_Jacquemetton","Lyon","American",
"http://dbpedia.org/resource/Louise_Labé","Lyon","French",
"http://dbpedia.org/resource/Ewn_Garabandal","Monza","Italy",
"http://dbpedia.org/resource/John_Robert_Colombo","Kitchener, Ontario","Canadian",
"http://dbpedia.org/resource/Veturi_Prabhakara_Sastri","Andhra Pradesh","Indian",
"http://dbpedia.org/resource/Isaac_Asimov","Russian Soviet Federative Socialist Republic","Russian , American",
"http://dbpedia.org/resource/David_Galloway_(writer)","Memphis","American, German",
"http://dbpedia.org/resource/Diriye_Osman","Mogadishu","British",
"http://dbpedia.org/resource/Marta_Rivera_de_la_Cruz","Lugo","Spain",
"http://dbpedia.org/resource/Karly_Gaitán_Morales","Managua","Nicaraguan",
"http://dbpedia.org/resource/Abraham_Eraly","Kerala","Indian",
"http://dbpedia.org/resource/Howard_Barker","Camberwell","British",
"http://dbpedia.org/resource/Mikhail_Plyatskovsky","Donetsk Oblast","Russian",
"http://dbpedia.org/resource/Peter_B._Germano","New Bedford, Massachusetts","American",
"http://dbpedia.org/resource/Simon_Frug","Kherson","Russian",
"http://dbpedia.org/resource/Yutaka_Hara","Kumamoto Prefecture","Japanese",
"http://dbpedia.org/resource/Eliza_Cook","London Road, Southwark","English",
"http://dbpedia.org/resource/Fernando_Soto_Aparicio","Socha","Colombian",
"http://dbpedia.org/resource/Lavie_Tidhar","Afula","Israeli/South African/British",
"http://dbpedia.org/resource/Don_Bendell","Akron, Ohio","American",
"http://dbpedia.org/resource/Rita_Wong","Alberta","Canadian",
"http://dbpedia.org/resource/Norm_Rice_(cartoonist)","Australia","Australian",
"http://dbpedia.org/resource/Norma_Davis","Australia","Australian",
"http://dbpedia.org/resource/Ken_Shadie","Australia","Australian",
"http://dbpedia.org/resource/Rita_Wong","Calgary","Canadian",
"http://dbpedia.org/resource/Mr._Yoga","Canada","Canadian",
"http://dbpedia.org/resource/Leila_Aboulela","Egypt","Sudanese",
"http://dbpedia.org/resource/Maggie_Gee_(novelist)","England","English",
"http://dbpedia.org/resource/Simon_Reynolds","England","British",
"http://dbpedia.org/resource/Antony_Beevor","England","British",
"http://dbpedia.org/resource/Peter_Morgan","England","British",
"http://dbpedia.org/resource/A._E._Housman","England","British",
"http://dbpedia.org/resource/Wilfred_Greatorex","England","British",
"http://dbpedia.org/resource/Subramanian_Krishnamoorthy","India","Indian",
"http://dbpedia.org/resource/Ritu_Lalit","India","Indian 20px",
"http://dbpedia.org/resource/Veturi_Prabhakara_Sastri","India","Indian",
"http://dbpedia.org/resource/Lavie_Tidhar","Israel","Israeli/South African/British",
"http://dbpedia.org/resource/Peter_Ackroyd","London","British",
"http://dbpedia.org/resource/Simon_Reynolds","London","British",
"http://dbpedia.org/resource/Mary_Ann_Kilner","London","British",
"http://dbpedia.org/resource/Dennis_Wheatley","London","English",
"http://dbpedia.org/resource/Peter_Morgan","London","British",
"http://dbpedia.org/resource/Howard_Barker","London","British",
"http://dbpedia.org/resource/Paul_Morantz","Los Angeles","United States",
"http://dbpedia.org/resource/Paul_Morantz","Los Angeles, California","United States",
"http://dbpedia.org/resource/Elizabeth_Bevarly","Louisville, Kentucky","American",
