"writer","birthPlaceLabel","nationality","country","deathPlaceLabel"
"http://dbpedia.org/resource/Abraham_Eraly","Kerala","Indian","http://dbpedia.org/resource/India","Pondicherry"
"http://dbpedia.org/resource/Marguerite_Duras","French Indochina","French",,"Paris"
"http://dbpedia.org/resource/Benedict_Kiely","County Tyrone","Irish",,"Dublin"
"http://dbpedia.org/resource/John_Brosnan","Perth, Western Australia","Australian",,"London"
"http://dbpedia.org/resource/John_Brosnan","Perth, Western Australia","Australian",,"South Harrow"
"http://dbpedia.org/resource/David_Gitin","Buffalo, New York","American",,"Key Largo, Florida"
"http://dbpedia.org/resource/Eliza_Cook","London Road, Southwark","English",,"Wimbledon, London"
"http://dbpedia.org/resource/Pearl_Rivers","Mississippi","United States",,"New Orleans"
"http://dbpedia.org/resource/Fernando_Soto_Aparicio","Socha","Colombian",,"Bogotá"
"http://dbpedia.org/resource/Fernando_Soto_Aparicio","Socha","Colombian",,"Cundinamarca Province"
"http://dbpedia.org/resource/Louise_Labé","Lyon","French",,"Parcieux"
"http://dbpedia.org/resource/Mikhail_Plyatskovsky","Donetsk Oblast","Russian",,"Moscow"
"http://dbpedia.org/resource/Mikhail_Plyatskovsky","Donetsk Oblast","Russian",,"USSR"
"http://dbpedia.org/resource/Simon_Frug","Kherson","Russian",,"Odessa"
"http://dbpedia.org/resource/Isaac_Asimov","Russian Soviet Federative Socialist Republic","Russian , American",,"New York (state)"
"http://dbpedia.org/resource/Isaac_Asimov","Russian Soviet Federative Socialist Republic","Russian , American",,"New York City"
"http://dbpedia.org/resource/Isaac_Asimov","Russian Soviet Federative Socialist Republic","Russian , American",,"Brooklyn"
"http://dbpedia.org/resource/Wilfred_Greatorex","Liverpool","British",,"Buckinghamshire"
"http://dbpedia.org/resource/Wilfred_Greatorex","Liverpool","British",,"England"
"http://dbpedia.org/resource/Wilfred_Greatorex","Liverpool","British",,"UK"
"http://dbpedia.org/resource/Wilfred_Greatorex","Liverpool","British",,"Taplow"
"http://dbpedia.org/resource/Dorothea_Ann_Thrupp","Paddington Green, London",,"http://dbpedia.org/resource/United_Kingdom","St John's Wood"
"http://dbpedia.org/resource/Marieluise_Fleißer","Ingolstadt",,"http://dbpedia.org/resource/Germany","Ingolstadt"
"http://dbpedia.org/resource/Giuseppe_Patroni_Griffi","Naples",,"http://dbpedia.org/resource/Italy","Rome"
"http://dbpedia.org/resource/Razumnik_Ivanov-Razumnik","Georgia (country)",,,"Munich"
"http://dbpedia.org/resource/Razumnik_Ivanov-Razumnik","Tbilisi",,,"Munich"
"http://dbpedia.org/resource/Grigor_Parlichev","Ohrid",,,"Ohrid"
"http://dbpedia.org/resource/Ali-Shir_Nava'i","Herat",,,"Herat"
