"writer","childLabel","parentLabel","spouseLabel"
"http://dbpedia.org/resource/Stephen_King","Joe Hill (writer)",,"Tabitha King"
"http://dbpedia.org/resource/Robert_Louis_Stevenson","Lloyd Osbourne",,"Fanny Van de Grift"
"http://dbpedia.org/resource/Dario_Fo","Jacopo Fo",,"Franca Rame"
"http://dbpedia.org/resource/Robert_Louis_Stevenson","Isobel Osbourne",,"Fanny Van de Grift"
"http://dbpedia.org/resource/Stephen_King","Owen King",,"Tabitha King"
"http://dbpedia.org/resource/Mary_Turzillo",,"Aaron Spelling","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Anne Meara","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Alain Delon","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Anne, Princess Royal","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Anne, Princess Royal","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Björn Ulvaeus","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Blake Edwards","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Colonel","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Dennis Hopper","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Dennis Hopper","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Edward VII","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Edward VII","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Edward VII","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Edward VII","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Elizabeth II","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Elizabeth II","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Elizabeth II","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Elizabeth II","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Faith Evans","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Frederick Byron, 10th Baron Byron","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Geoffrey Lewis (actor)","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Guru Gobind Singh","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Hu Jintao","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Javed Sheikh","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Javed Sheikh","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Julie Andrews","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Julio Iglesias","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Li Peng","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Major","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Major","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Major","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Nancy Pelosi","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Nancy Pelosi","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Nancy Pelosi","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Sean Combs","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"The Notorious B.I.G.","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Thyra","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Thyra","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"U.S. Army","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Val Kilmer","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"David Ogilvy, 12th Earl of Airlie","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Ferdinand I of Romania","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Ferdinand I of Romania","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Ferdinand I of Romania","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Ferdinand I of Romania","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Ferdinand I of Romania","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Vajiravudh","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Albert I of Belgium","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Albert I of Belgium","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Albert I of Belgium","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Calvin Coolidge","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"James M. Cox","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Mammootty","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Rezā Shāh","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Rezā Shāh","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Rezā Shāh","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Rezā Shāh","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Rezā Shāh","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Rezā Shāh","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Rezā Shāh","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"T. G. Ravi","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Warren G. Harding","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Bob Marley","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Bruce Dern","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Grace Kelly","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Grace Kelly","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Grace Kelly","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Jenni Rivera","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Kiefer Sutherland","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Leon Hess","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Muammar Gaddafi","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Muammar Gaddafi","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Marv Albert","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Robert Irsay","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"William McMahon","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Kevin Smith","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Billy Brooks","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Carl XVI Gustaf of Sweden","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Charles Shipman Payson","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Jimmy Carter","Geoffrey A. Landis"
