"writerNameLabel","birthPlaceLabel","nationalityLabel","deathPlaceLabel"
"Robert Zend","Budapest","Hungarian-Canadian","Canada"
"Robert Zend","Kingdom of Hungary (1920-1946)","Hungarian-Canadian","Canada"
"Bruce Alistair McKelvie","Canada","Canadians","Canada"
"Leona Florentino","Captaincy General of the Philippines","Ilocano people","Captaincy General of the Philippines"
"Aziz Ahmad (writer)","Hyderabad","Pakistani","Canada"
"Aziz Ahmad (writer)","Hyderabad State","Pakistani","Canada"
"Bruce Alistair McKelvie","Vancouver","Canadians","Canada"
"Pat Lowther","Vancouver","Canadian","Canada"
"Leona Florentino","Vigan","Ilocano people","Captaincy General of the Philippines"
"Bruce Alistair McKelvie","British Columbia","Canadians","Canada"
"Pat Lowther","British Columbia","Canadian","Canada"
"Aziz Ahmad (writer)","British India","Pakistani","Canada"
"Leona Florentino","Ilocos Sur","Ilocano people","Captaincy General of the Philippines"
"Irene Baird","Carlisle","Canadians","Canada"
"Irene Baird","Carlisle","English people","Canada"
"Rabindranath Tagore","Bengal Presidency","British Raj","Calcutta"
"Dipendranath Bandyopadhyay","Bengal Presidency","British Indian","Calcutta"
"Irene Baird","England","Canadians","Canada"
"Irene Baird","England","English people","Canada"
"Charles Marega","Gorizia","Canadians","Canada"
"Charles Marega","Gorizia","Italians","Canada"
"Suzanne Lamy","Lombez","Canadians","Canada"
"Charles Marega","Austria-Hungary","Canadians","Canada"
"Charles Marega","Austria-Hungary","Italians","Canada"
"Dipendranath Bandyopadhyay","British India","British Indian","Calcutta"
"Rabindranath Tagore","British Raj","British Raj","Calcutta"
"Rabindranath Tagore","West Bengal","British Raj","Calcutta"
"Irene Baird","Cumberland","Canadians","Canada"
"Irene Baird","Cumberland","English people","Canada"
"Suzanne Lamy","France","Canadians","Canada"
"Charles Marega","Lucinico","Canadians","Canada"
"Charles Marega","Lucinico","Italians","Canada"
"Dipendranath Bandyopadhyay","Dhaka","British Indian","Calcutta"
"Rachna Gilmore","India","Canadian","Canada"
"Rabindranath Tagore","India","British Raj","Calcutta"
