"writerName","childLabel","parentLabel","spouseLabel"
"Caitlin Thomas","Aeronwy Thomas","Caitlin Thomas","Dylan Thomas"
"Dylan Thomas","Aeronwy Thomas","Caitlin Thomas","Caitlin Thomas"
"Qi Xin","Xi Yuanping","Qi Xin","Xi Zhongxun"
"Julia Rush Cutler Ward","Samuel Ward (lobbyist)","Samuel Ward (banker)","Samuel Ward (banker)"
"Rabindranath Tagore","Rathindranath Tagore","Mrinalini Devi","Mrinalini Devi"
"Henrik Ibsen","Sigurd Ibsen","Suzannah Thoresen","Suzannah Thoresen"
"Barry Shipman","Nina Shipman","Barry Shipman","Gwynne Shipman"
"Belkis Cuza Malé","Ernesto Padilla","Belkis Cuza Malé","Heberto Padilla"
"Nalini Prava Deka","Jim Ankan Deka","Bhabananda Deka","Bhabananda Deka"
"Gail Omvedt","Prachi Patankar","Bharat Patankar","Bharat Patankar"
"Bjørnstjerne Bjørnson","Bjørn Bjørnson","Bjørnstjerne Bjørnson","Karoline Bjørnson"
"David Mamet","Zosia Mamet","David Mamet","Lindsay Crouse"
"David Mamet","Clara Mamet","David Mamet","Lindsay Crouse"
"David Mamet","Zosia Mamet","David Mamet","Rebecca Pidgeon"
"David Mamet","Clara Mamet","David Mamet","Rebecca Pidgeon"
"David Rabe","Lily Rabe","David Rabe","Jill Clayburgh"
"Antonia Fraser","Flora Fraser (writer)","Hugh Fraser (British politician)","Hugh Fraser (British politician)"
"Lydia Mackenzie Falconer Miller","Harriet Miller Davidson","Hugh Miller","Hugh Miller"
"Antonia Fraser","Flora Fraser (writer)","Hugh Fraser (British politician)","Harold Pinter"
"Erica Jong","Molly Jong-Fast","Jonathan Fast","Jonathan Fast"
"C. S. Lewis","Douglas Gresham","Joy Davidman","Joy Davidman"
"Journal Kyaw Ma Ma Lay","Moe Hein","Journal Kyaw Ma Ma Lay","Chit Maung"
"Bruce Fogle","Ben Fogle","Julia Foster","Julia Foster"
"William F. Buckley Jr.","Christopher Buckley (novelist)","Patricia Buckley","Patricia Buckley"
"Olwen Wymark","Jane Wymark","Patrick Wymark","Patrick Wymark"
"Mary Shelley","Percy Florence Shelley","Percy Bysshe Shelley","Percy Bysshe Shelley"
"Percy Bysshe Shelley","Percy Florence Shelley","Percy Bysshe Shelley","Mary Shelley"
"Robert Browning","Robert Barrett Browning","Robert Browning","Elizabeth Barrett Browning"
"Robert Graves","Tomás Graves","Robert Graves","Nancy Nicholson"
"Valeriya Kirpichenko","Sergei Kirpichenko","Vadim Kirpichenko","Vadim Kirpichenko"
"Valeriya Kirpichenko","Sergei Kirpichenko","Valeriya Kirpichenko","Vadim Kirpichenko"
"Vera Brittain","Shirley Williams","Vera Brittain","George Catlin (political scientist)"
"Victoria Hislop","Will Hislop","Victoria Hislop","Ian Hislop"
"Anthony Powell","Tristram Powell","Violet Powell","Violet Powell"
"Lady Violet Powell","Tristram Powell","Violet Powell","Anthony Powell"
"Zygmunt Krasiński","Władysław Krasiński","Eliza Branicka","Eliza Branicka"
"Oscar Wilde","Vyvyan Holland","Constance Lloyd","Constance Lloyd"
"Constance Lloyd","Vyvyan Holland","Constance Lloyd","Oscar Wilde"
"Florence Warfield Sillers","Florence Sillers Ogden","Florence Warfield","Walter Sillers"
"Mary Shelley","Percy Florence Shelley","Mary Shelley","Percy Bysshe Shelley"
"Percy Bysshe Shelley","Percy Florence Shelley","Mary Shelley","Mary Shelley"
"L. Frank Baum","Frank Joslyn Baum","Maud Gage Baum","Maud Gage Baum"
"L. Frank Baum","Harry Neal Baum","Maud Gage Baum","Maud Gage Baum"
"Russel Crouse","Lindsay Crouse","Russel Crouse","Alison Smith (critic)"
"D'Arcy Niland","Kilmeny Niland","Ruth Park","Ruth Park"
"Razia Sajjad Zaheer","Nadira Babbar","Sajjad Zaheer","Sajjad Zaheer"
"Vera Brittain","Shirley Williams","George Catlin (political scientist)","George Catlin (political scientist)"
"Sidney Howard","Jennifer Howard (actress)","Clare Eames","Clare Eames"
"Margaret Moncrieff","Catriona Kelly","Alexander Kelly (pianist)","Alexander Kelly (pianist)"
"Mary Benson (hostess)","Robert Hugh Benson","Edward White Benson","Edward White Benson"
"Elizabeth Craven","William Craven, 1st Earl of Craven (1770–1825)","Elizabeth Craven","Charles Alexander, Margrave of Brandenburg-Ansbach"
"Elizabeth Craven","William Craven, 1st Earl of Craven (1770–1825)","Elizabeth Craven","William Craven, 6th Baron Craven"
"Jaan Kross","Eerik-Niiles Kross","Ellen Niit","Ellen Niit"
"Pablo Picasso","Paloma Picasso","Françoise Gilot","Jacqueline Roque"
"Pablo Picasso","Claude Picasso","Françoise Gilot","Jacqueline Roque"
